skill,course_name,platform,url
python,"Python for Everybody","Coursera","https://www.coursera.org/specializations/python"
sql,"SQL for Data Analysis","Udemy","https://www.udemy.com/course/sql-for-data-analysis/"
machine learning,"Machine Learning","Coursera","https://www.coursera.org/learn/machine-learning"
deep learning,"Deep Learning Specialization","Coursera","https://www.coursera.org/specializations/deep-learning"
tableau,"Tableau 2024 A-Z: Hands-On Training","Udemy","https://www.udemy.com/course/tableau10/"
aws,"AWS Certified ML Engineer","Coursera","https://www.coursera.org/professional-certificates/aws-machine-learning"
docker,"Docker for Beginners","Udemy","https://www.udemy.com/course/docker-tutorial-for-beginners/"
pandas,"Data Analysis with Pandas","Kaggle","https://www.kaggle.com/learn/pandas"
tensorflow,"TensorFlow Developer Professional","Coursera","https://www.coursera.org/professional-certificates/tensorflow-in-practice"
excel,"Excel Skills for Business","Coursera","https://www.coursera.org/specializations/excel"
